scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:21:59.3684805Z,archive-extract,C:\bench\microbench\archive-extract,0,23551,0,0,0,80964608,284422144,2307490.700,2614238.100,2614238.100,2614238.100,1,10,0.425,2355021.930
com-create-instance,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:28:29.1453560Z,com-create-instance,C:\bench\microbench\com-create-instance,0,1532,0,0,0,118784,126976,283.800,370.500,755.300,15506.400,1,5000,3265.849,306.054
crypto-hash-verify,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:28:17.6146394Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,251,0,0,0,417792,0,40.500,43.700,56.200,97.000,1,5000,24298.986,41.129
dll-load-unique,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:25:41.3688192Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,10677,0,0,0,1990656,4026015744,5248.100,6459.300,7242.300,15668.600,1,2000,187.326,5334.155
ext-sensitivity-dll,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:24:46.1718782Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,6531,0,0,0,360448,50098176,631.000,717.900,884.400,24969.700,1,10000,1531.116,651.788
ext-sensitivity-exe,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:24:29.6318086Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,6513,0,0,0,0,53600256,635.100,709.900,866.400,16844.400,1,10000,1535.327,649.641
ext-sensitivity-js,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:25:03.0503323Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,6866,0,0,0,46592,79499264,656.500,833.400,1041.000,36899.800,1,10000,1456.471,685.263
ext-sensitivity-ps1,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:25:20.7009371Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,7635,0,0,0,32768,75571200,713.500,1067.700,1379.400,27985.000,1,10000,1309.733,762.070
file-copy-large,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:22:24.6219750Z,file-copy-large,C:\bench\microbench\file-copy-large,0,821,0,0,0,0,0,35202.700,37056.100,37056.100,37056.100,1,10,28.203,35448.770
file-create-delete,360ts,360 Total Security,"9, 2, 0, 1031",2026-04-19T20:21:25.8072113Z,file-create-delete,C:\bench\microbench\file-create-delete,0,3343,0,0,0,813568,26238976,639.700,715.900,883.200,15799.600,100,5000,1502.253,657.230
