scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:04:49.4073075Z,archive-extract,C:\bench\microbench\archive-extract,0,14603,0,0,0,84566528,274243584,1427623.200,1633843.800,1633843.800,1633843.800,1,10,0.686,1458512.220
com-create-instance,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:10:01.2405250Z,com-create-instance,C:\bench\microbench\com-create-instance,0,692,0,0,0,143360,4096,117.300,203.000,233.000,12836.400,1,5000,7237.226,138.093
crypto-hash-verify,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:09:50.5440457Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,255,0,0,0,270336,0,40.500,41.600,57.600,137.100,1,5000,24259.268,41.199
dll-load-unique,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:07:24.6478447Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,8389,0,0,0,1961984,4019859456,4071.500,4881.300,5672.800,31885.100,1,2000,238.447,4189.939
ext-sensitivity-dll,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:06:38.8800959Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,3776,0,0,0,0,60837888,374.100,414.500,476.700,29437.600,1,10000,2648.193,376.403
ext-sensitivity-exe,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:06:25.1050325Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,4153,0,0,0,3584,36052992,399.000,455.900,825.100,29537.900,1,10000,2407.881,413.682
ext-sensitivity-js,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:06:52.4970024Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,3613,0,0,0,117248,43655168,354.600,395.400,477.900,39415.800,1,10000,2767.870,360.261
ext-sensitivity-ps1,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:07:06.2523089Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,3754,0,0,0,0,53403648,377.000,419.400,479.000,8890.600,1,10000,2663.879,374.156
file-copy-large,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:05:13.1334779Z,file-copy-large,C:\bench\microbench\file-copy-large,0,890,0,0,0,12288,105029632,35650.400,93956.500,93956.500,93956.500,1,10,24.010,41640.230
file-create-delete,avast,Avast Antivirus,21.4.6162.0,2026-04-19T19:04:24.7970035Z,file-create-delete,C:\bench\microbench\file-create-delete,0,1840,0,0,0,544768,22564864,352.400,401.000,498.500,31513.000,100,5000,2723.742,363.173
