scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,avira,Avira Security,1.0.2604.8504,2026-04-19T02:50:33.7393187Z,archive-extract,C:\bench\microbench\archive-extract,0,16184,0,0,0,36021760,277544960,1563534.100,1911734.300,1911734.300,1911734.300,1,10,0.619,1616772.060
com-create-instance,avira,Avira Security,1.0.2604.8504,2026-04-19T03:01:32.4149323Z,com-create-instance,C:\bench\microbench\com-create-instance,0,725,0,0,0,233472,0,123.400,206.100,230.300,23383.500,1,5000,6906.522,144.708
crypto-hash-verify,avira,Avira Security,1.0.2604.8504,2026-04-19T03:01:21.6840038Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,246,0,0,0,0,0,40.500,42.900,56.200,124.700,1,5000,24276.452,41.167
dll-load-unique,avira,Avira Security,1.0.2604.8504,2026-04-19T02:53:44.4282661Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,44339,0,0,0,18131968,4021534720,21839.200,23260.900,24261.400,499230.900,1,2000,45.107,22160.810
ext-sensitivity-dll,avira,Avira Security,1.0.2604.8504,2026-04-19T02:52:19.8816740Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,5029,0,0,0,2048,42561536,472.000,623.800,818.200,26430.400,1,10000,1988.337,501.652
ext-sensitivity-exe,avira,Avira Security,1.0.2604.8504,2026-04-19T02:52:04.8444132Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,5037,0,0,0,263680,49049600,477.900,624.200,787.100,10517.200,1,10000,1985.431,502.043
ext-sensitivity-js,avira,Avira Security,1.0.2604.8504,2026-04-19T02:52:34.9297855Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,5040,0,0,0,31232,48570368,476.300,612.400,777.900,34913.600,1,10000,1983.985,502.646
ext-sensitivity-ps1,avira,Avira Security,1.0.2604.8504,2026-04-19T02:52:50.0777868Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,5153,0,0,0,0,55357440,489.300,621.400,829.400,41043.600,1,10000,1940.591,514.021
file-copy-large,avira,Avira Security,1.0.2604.8504,2026-04-19T02:50:58.4487973Z,file-copy-large,C:\bench\microbench\file-copy-large,0,828,0,0,0,0,0,35335.700,49822.400,49822.400,49822.400,1,10,27.143,36830.130
file-create-delete,avira,Avira Security,1.0.2604.8504,2026-04-19T02:50:07.5481254Z,file-create-delete,C:\bench\microbench\file-create-delete,0,2662,0,0,0,0,28143616,527.400,600.700,868.700,22307.000,100,5000,1879.844,528.354
file-enum-large-dir,avira,Avira Security,1.0.2604.8504,2026-04-19T02:50:47.6174637Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,3872,0,0,0,0,58142720,2573.100,3392.900,4599.500,4599.500,1,50,370.134,2701.622
file-write-content,avira,Avira Security,1.0.2604.8504,2026-04-19T02:53:59.6208672Z,file-write-content,C:\bench\microbench\file-write-content,0,5187,0,0,0,0,35188736,489.800,616.300,798.800,17997.000,1,10000,1928.011,513.810
fs-watcher,avira,Avira Security,1.0.2604.8504,2026-04-19T03:02:08.2634560Z,fs-watcher,C:\bench\microbench\fs-watcher,0,4125,0,0,0,88576,34533376,782.200,919.000,1052.700,22917.600,1,5000,1252.951,796.647
hardlink-create,avira,Avira Security,1.0.2604.8504,2026-04-19T02:51:10.2870222Z,hardlink-create,C:\bench\microbench\hardlink-create,0,1824,0,0,0,32768,131072,357.400,452.000,491.200,1630.800,1,5000,2743.535,362.998
junction-create,avira,Avira Security,1.0.2604.8504,2026-04-19T02:51:21.2113898Z,junction-create,C:\bench\microbench\junction-create,0,926,0,0,0,0,0,451.200,505.900,606.100,1766.900,1,2000,2161.375,461.288
mem-alloc-protect,avira,Avira Security,1.0.2604.8504,2026-04-19T02:59:47.1343228Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,160,0,0,0,0,0,2.900,4.900,6.700,845.600,1,50000,312658.870,3.159
mem-map-file,avira,Avira Security,1.0.2604.8504,2026-04-19T03:00:08.2646418Z,mem-map-file,C:\bench\microbench\mem-map-file,0,11116,0,0,0,90112,109899776,1068.000,1360.100,1758.700,6838.100,1,10000,900.526,1110.216
net-connect-loopback,avira,Avira Security,1.0.2604.8504,2026-04-19T03:00:19.1778368Z,net-connect-loopback,C:\bench\microbench\net-connect-loopback,0,911,0,0,0,923648,73728,409.500,600.800,794.100,2116.600,1,2000,2320.746,430.616
net-dns-resolve,avira,Avira Security,1.0.2604.8504,2026-04-19T03:00:35.6018154Z,net-dns-resolve,C:\bench\microbench\net-dns-resolve,0,6428,0,0,0,403968,36864,1165.900,1876.000,2347.900,24063.100,1,5000,777.889,1285.387
new-exe-run,avira,Avira Security,1.0.2604.8504,2026-04-19T02:59:05.6713526Z,new-exe-run,C:\bench\microbench\new-exe-run,0,296037,0,0,0,11529216,22986752,504095.800,11651991.700,11752168.400,11752168.400,1,50,0.169,5920460.710
new-exe-run-motw,avira,Avira Security,1.0.2604.8504,2026-04-19T02:59:25.5395892Z,new-exe-run-motw,C:\bench\microbench\new-exe-run-motw,0,9851,0,0,0,8192,13737984,91587.100,319418.100,406771.500,406771.500,1,50,5.075,196756.228
pipe-roundtrip,avira,Avira Security,1.0.2604.8504,2026-04-19T03:01:01.3771220Z,pipe-roundtrip,C:\bench\microbench\pipe-roundtrip,0,149,0,0,0,406528,0,49.900,65.200,186.000,546.400,1,2000,17704.144,56.307
process-create-wait,avira,Avira Security,1.0.2604.8504,2026-04-19T02:51:49.7956097Z,process-create-wait,C:\bench\microbench\process-create-wait,0,18586,0,0,0,123434496,105164800,36769.600,39928.800,43504.200,99979.100,1,500,26.901,37171.868
registry-crud,avira,Avira Security,1.0.2604.8504,2026-04-19T03:00:51.2268560Z,registry-crud,C:\bench\microbench\registry-crud,0,5628,0,0,0,0,32768,1114.700,1205.600,1242.200,3685.000,1,5000,888.560,1124.352
ripgrep-clean-build,avira,Avira Security,1.0.2604.8504,2026-04-19T03:04:26.1348332Z,cargo build --release,C:\bench\ripgrep,0,127638,148296,6828,2109,333326848,118693888,,,,,0,0,0.000,0.000
ripgrep-incremental-build,avira,Avira Security,1.0.2604.8504,2026-04-19T03:04:52.2090575Z,cargo build --release,C:\bench\ripgrep,0,6055,32296,656,464,0,18329600,,,,,0,0,0.000,0.000
roslyn-clean-build,avira,Avira Security,1.0.2604.8504,2026-04-19T03:09:10.3443762Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,237319,2878734,338734,8628,9541182464,32059514880,,,,,0,0,0.000,0.000
roslyn-incremental-build,avira,Avira Security,1.0.2604.8504,2026-04-19T03:10:31.7794046Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,61338,730312,133250,4964,146649600,1307414528,,,,,0,0,0.000,0.000
thread-create,avira,Avira Security,1.0.2604.8504,2026-04-19T02:59:36.9713091Z,thread-create,C:\bench\microbench\thread-create,0,1437,0,0,0,0,434176,264.300,409.300,799.100,2541.800,1,5000,3478.123,287.348
token-query,avira,Avira Security,1.0.2604.8504,2026-04-19T03:01:11.4347082Z,token-query,C:\bench\microbench\token-query,0,56,0,0,0,0,8192,1.000,1.300,1.800,553.300,1,50000,900320.154,1.070
wmi-query,avira,Avira Security,1.0.2604.8504,2026-04-19T03:01:54.1245075Z,wmi-query,C:\bench\microbench\wmi-query,0,11717,0,0,0,139264,253952,23074.200,24905.300,25808.600,67261.400,1,500,42.672,23295.850
