scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:15:24.5873465Z,archive-extract,C:\bench\microbench\archive-extract,0,13285,0,0,0,34304,259489792,1297524.400,1540140.300,1540140.300,1540140.300,1,10,0.753,1328485.620
com-create-instance,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:20:09.8350542Z,com-create-instance,C:\bench\microbench\com-create-instance,0,470,0,0,0,143360,0,78.000,145.900,166.100,4162.300,1,5000,10639.708,93.916
crypto-hash-verify,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:19:59.3613577Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,247,0,0,0,417792,0,40.500,43.600,57.200,172.100,1,5000,24141.411,41.395
dll-load-unique,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:17:43.5655157Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,8194,0,0,0,1986560,4015767552,4028.900,4724.700,5449.900,17968.600,1,2000,244.076,4093.303
ext-sensitivity-dll,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:16:59.3214667Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,3052,0,0,0,0,49115136,287.600,341.300,732.200,31945.100,1,10000,3276.625,304.183
ext-sensitivity-exe,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:16:46.2663242Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,3010,0,0,0,2048,40271872,290.000,329.100,591.700,21228.300,1,10000,3322.564,299.603
ext-sensitivity-js,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:17:12.3836014Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,3064,0,0,0,31232,57761792,289.400,345.900,713.900,51869.300,1,10000,3263.682,305.375
ext-sensitivity-ps1,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:17:25.3649321Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,2973,0,0,0,0,52736000,288.200,328.700,500.400,7250.700,1,10000,3363.385,296.312
file-copy-large,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:15:47.9775158Z,file-copy-large,C:\bench\microbench\file-copy-large,0,968,0,0,0,184320,104992768,41407.100,108681.200,108681.200,108681.200,1,10,20.572,48600.520
file-create-delete,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:15:01.2843799Z,file-create-delete,C:\bench\microbench\file-create-delete,0,1519,0,0,0,159744,11223040,278.500,322.900,715.600,16972.500,100,5000,3320.396,296.421
file-enum-large-dir,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:15:37.0118719Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,2414,0,0,0,57344,67792896,2654.300,3312.700,5763.400,5763.400,1,50,360.705,2772.214
file-write-content,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:17:56.8530301Z,file-write-content,C:\bench\microbench\file-write-content,0,3284,0,0,0,4096,63057920,311.500,366.100,559.000,23209.200,1,10000,3045.082,323.667
fs-watcher,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:20:45.8013541Z,fs-watcher,C:\bench\microbench\fs-watcher,0,2247,0,0,0,231936,18944000,415.600,484.400,617.100,16762.000,1,5000,2352.470,423.879
hardlink-create,baseline-os,Windows Defender,4.18.2201.11,2026-04-16T05:15:59.2359184Z,hardlink-create,C:\bench\microbench\hardlink-create,0,1255,0,0,0,0,10072064,247.000,324.500,364.700,878.400,1,5000,3987.711,249.330
