scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:54:53.6540156Z,archive-extract,C:\bench\microbench\archive-extract,0,73076,0,0,0,34174464,619085824,7208268.400,7655462.000,7655462.000,7655462.000,1,10,0.137,7306633.960
com-create-instance,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T02:04:52.8945595Z,com-create-instance,C:\bench\microbench\com-create-instance,0,1685,0,0,0,131072,0,330.100,359.600,382.800,13784.400,1,5000,2968.409,336.743
crypto-hash-verify,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T02:04:41.1973161Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,307,0,0,0,417792,0,40.500,41.600,58.300,291.100,1,5000,24165.657,41.353
dll-load-unique,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T02:01:32.9891791Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,15723,0,0,0,1992192,4017577984,6992.100,7976.100,20901.500,84441.700,1,2000,127.202,7855.445
ext-sensitivity-dll,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:57:46.6532325Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,22405,0,0,0,49152,50565120,1695.100,2140.900,26835.200,55811.000,1,10000,446.331,2238.779
ext-sensitivity-exe,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:57:14.2298435Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,21298,0,0,0,4096,58286080,1684.400,2180.900,36031.900,46039.700,1,10000,469.531,2127.625
ext-sensitivity-js,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:58:35.2951029Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,38631,0,0,0,47616,55676928,1998.600,3264.600,61880.900,66626.100,1,10000,258.860,3861.203
ext-sensitivity-ps1,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T02:01:07.2699038Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,141962,0,0,0,778240,67686400,13418.600,14893.200,26358.900,85079.400,1,10000,70.441,14193.113
file-copy-large,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:55:35.0864834Z,file-copy-large,C:\bench\microbench\file-copy-large,0,878,0,0,0,0,0,39381.100,41368.300,41368.300,41368.300,1,10,25.426,39319.900
file-create-delete,bitdefender,Bitdefender Antivirus,27.0.3.9,2026-04-18T01:53:30.5665817Z,file-create-delete,C:\bench\microbench\file-create-delete,0,6236,0,0,0,577536,25378816,1161.300,1523.200,2989.300,11509.600,100,5000,802.314,1240.061
