scenario_id,av_name,av_product,av_version,baseline_name,sessions,baseline_sessions,steady_state_samples,baseline_steady_state_samples,mean_wall_ms,median_wall_ms,first_run_wall_ms,baseline_first_run_wall_ms,mean_cpu_ms,kernel_cpu_pct,baseline_kernel_cpu_pct,kernel_cpu_slowdown_pct,peak_memory_mb,system_disk_read_mb,baseline_system_disk_read_mb,system_disk_write_mb,baseline_system_disk_write_mb,slowdown_pct,first_run_slowdown_pct,cv_pct,baseline_cv_pct,median_p50_us,median_p95_us,median_p99_us,baseline_median_p95_us,p95_slowdown_pct,status
archive-extract,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,16200.5,16149.0,15996.0,13023.0,0.0,0.0,0.0,0.0,0,34.4,0.0,261.2,251.2,23.6,22.5,1.0,2.2,1561058.2,1913829.6,1913829.6,1446638.5,32.3,ok
com-create-instance,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,735.5,722.0,726.0,488.0,0.0,0.0,0.0,0.0,0,0.2,0.1,0.0,0.0,52.6,53.5,3.6,1.8,123.4,205.8,233.2,148.2,38.8,ok
crypto-hash-verify,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,253.5,246.5,240.0,251.0,0.0,0.0,0.0,0.0,0,0.0,0.4,0.0,0.0,-1.0,-3.6,6.4,1.0,40.5,41.8,56.3,43.2,-3.2,anomaly
dll-load-unique,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,44401.5,44465.5,44123.0,7859.0,0.0,0.0,0.0,0.0,0,16.2,1.9,3835.4,3829.6,454.6,450.3,0.7,1.1,21895.8,23261.7,24250.4,4627.8,402.7,ok
ext-sensitivity-dll,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,5008.2,5011.0,5127.0,3008.0,0.0,0.0,0.0,0.0,0,0.0,0.0,38.1,44.5,65.5,69.3,0.4,1.4,472.6,614.2,822.0,332.6,84.6,ok
ext-sensitivity-exe,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,4985.0,4979.5,4997.0,3008.0,0.0,0.0,0.0,0.0,0,0.1,0.0,37.3,42.5,64.7,65.3,0.8,1.0,470.6,603.6,786.7,327.8,84.2,ok
ext-sensitivity-js,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,5017.2,5012.0,5011.0,3008.0,0.0,0.0,0.0,0.0,0,0.0,0.0,48.6,53.5,64.3,64.3,1.1,1.0,472.2,606.0,771.5,335.0,80.9,ok
ext-sensitivity-ps1,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,5082.2,5065.0,5060.0,2986.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59.1,52.1,69.9,69.7,0.8,1.0,477.7,622.2,831.0,329.5,88.8,ok
file-copy-large,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,836.5,833.5,867.0,1004.0,0.0,0.0,0.0,0.0,0,0.0,0.1,0.0,100.1,-12.4,-8.9,1.1,1.4,35275.0,48874.0,48874.0,103532.1,-52.8,anomaly
file-create-delete,avira,Avira Security,1.0.2604.8504,baseline-os,5,5,4,4,2578.2,2555.0,2536.0,1490.0,0.0,0.0,0.0,0.0,0,0.0,0.1,25.2,11.3,73.2,71.9,1.9,2.0,486.8,598.2,838.4,321.5,86.0,ok
