scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:21:33.4044812Z,archive-extract,C:\bench\microbench\archive-extract,0,16136,0,0,0,59918848,282624000,1603623.200,1668771.700,1668771.700,1668771.700,1,10,0.626,1596750.840
com-create-instance,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:44:41.4341505Z,com-create-instance,C:\bench\microbench\com-create-instance,0,759,0,0,0,253952,0,134.300,221.000,251.700,5038.200,1,5000,6598.230,151.467
crypto-hash-verify,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:44:30.6773254Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,244,0,0,0,0,0,40.500,44.100,57.100,171.300,1,5000,24107.144,41.452
dll-load-unique,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:31:33.3552008Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,413910,0,0,0,164572160,4057092096,197138.900,271014.000,274225.300,395965.400,1,2000,4.832,206945.021
ext-sensitivity-dll,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:23:39.5750749Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,14814,0,0,0,851456,57978880,1313.500,2197.400,2694.200,13696.300,1,10000,675.049,1479.830
ext-sensitivity-exe,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:23:14.7529529Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,14553,0,0,0,155648,61321216,1318.900,2091.700,2528.000,24093.800,1,10000,687.169,1453.276
ext-sensitivity-js,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:24:04.4773666Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,14892,0,0,0,129536,66371584,1327.000,2146.200,2655.100,18008.600,1,10000,671.505,1487.401
ext-sensitivity-ps1,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:24:29.4217150Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,14937,0,0,0,1057280,53878784,1331.800,2197.300,2662.000,29862.800,1,10000,669.494,1492.122
file-copy-large,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:21:57.7314489Z,file-copy-large,C:\bench\microbench\file-copy-large,0,921,0,0,0,131072,112136192,38870.000,94318.300,94318.300,94318.300,1,10,22.432,44568.780
file-create-delete,drweb,Dr.Web Security Space,1.0.0.04150,2026-04-20T17:21:07.2546421Z,file-create-delete,C:\bench\microbench\file-create-delete,0,4719,0,0,0,2001408,31604736,786.000,1597.600,1873.000,20131.300,100,5000,1060.173,939.473
