scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
file-create-delete,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:35:12.1694251Z,file-create-delete,C:\bench\microbench\file-create-delete,0,3930,0,0,0,821760,23343104,752.000,868.100,1253.500,20535.800,100,5000,1275.775,779.261
archive-extract,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:35:50.5412254Z,archive-extract,C:\bench\microbench\archive-extract,0,28355,0,0,0,33328128,281985024,2782164.400,3235232.200,3235232.200,3235232.200,1,10,0.353,2832972.730
file-enum-large-dir,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:36:06.0622904Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,5503,0,0,0,32768,59355136,2699.400,3301.900,4838.400,4838.400,1,50,354.934,2817.290
file-copy-large,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:36:16.8804691Z,file-copy-large,C:\bench\microbench\file-copy-large,0,823,0,0,0,0,28672,35833.800,37433.100,37433.100,37433.100,1,10,27.819,35935.940
hardlink-create,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:36:30.4510116Z,hardlink-create,C:\bench\microbench\hardlink-create,0,3552,0,0,0,0,4096,660.200,1019.400,1245.100,2156.800,1,5000,1408.814,708.051
junction-create,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:36:41.7475804Z,junction-create,C:\bench\microbench\junction-create,0,1280,0,0,0,32768,0,592.800,918.700,1186.100,11632.700,1,2000,1563.399,638.038
process-create-wait,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:37:17.6215916Z,process-create-wait,C:\bench\microbench\process-create-wait,0,25862,0,0,0,1949184,93798400,51068.100,54130.900,60057.900,155575.100,1,500,19.333,51723.531
ext-sensitivity-exe,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:37:35.4627877Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,7841,0,0,0,0,64659456,761.700,852.700,1187.500,30821.000,1,10000,1275.293,782.342
ext-sensitivity-dll,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:37:53.2006041Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,7723,0,0,0,12271104,51822592,746.300,890.900,1182.300,15344.300,1,10000,1294.774,770.948
ext-sensitivity-js,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:38:10.8601257Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,7652,0,0,0,129536,59215872,742.700,834.500,1146.100,23858.500,1,10000,1306.885,763.689
ext-sensitivity-ps1,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:38:28.5801755Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,7723,0,0,0,54292992,61489152,746.000,955.200,1294.500,10787.800,1,10000,1294.767,770.982
dll-load-unique,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:39:27.0093026Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,48418,0,0,0,147410432,4021235712,24071.600,25835.800,26796.300,39217.000,1,2000,41.307,24201.048
file-write-content,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:39:45.1039059Z,file-write-content,C:\bench\microbench\file-write-content,0,8080,0,0,0,0,63107072,784.200,873.800,1235.500,14054.000,1,10000,1237.796,803.093
new-exe-run,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:40:00.6687643Z,new-exe-run,C:\bench\microbench\new-exe-run,0,5565,0,0,0,3320320,12615680,110345.300,115643.600,124722.800,124722.800,1,50,8.984,111077.314
new-exe-run-motw,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:40:16.2820738Z,new-exe-run-motw,C:\bench\microbench\new-exe-run-motw,0,5616,0,0,0,0,12656640,110872.300,117895.300,130768.700,130768.700,1,50,8.903,112124.140
thread-create,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:40:27.5659503Z,thread-create,C:\bench\microbench\thread-create,0,1283,0,0,0,126976,0,238.300,319.300,603.400,11970.400,1,5000,3896.308,256.480
mem-alloc-protect,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:40:37.8098808Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,226,0,0,0,0,0,4.200,6.700,9.300,546.000,1,50000,221529.671,4.474
mem-map-file,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:40:53.7347343Z,mem-map-file,C:\bench\microbench\mem-map-file,0,5901,0,0,0,162304,106221568,557.900,762.400,1140.800,2002.500,1,10000,1701.392,587.485
net-connect-loopback,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:41:05.3772498Z,net-connect-loopback,C:\bench\microbench\net-connect-loopback,0,1637,0,0,0,796672,0,597.400,829.700,1272.400,57234.000,1,2000,1285.603,777.672
net-dns-resolve,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:41:16.9971547Z,net-dns-resolve,C:\bench\microbench\net-dns-resolve,0,1628,0,0,0,317952,0,314.600,345.800,372.400,40853.500,1,5000,3070.410,325.563
registry-crud,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:41:39.5949671Z,registry-crud,C:\bench\microbench\registry-crud,0,12599,0,0,0,98304,10903552,2473.500,3021.000,3388.100,14965.200,1,5000,396.871,2517.723
pipe-roundtrip,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:41:49.7857298Z,pipe-roundtrip,C:\bench\microbench\pipe-roundtrip,0,174,0,0,0,463872,0,57.000,75.800,125.900,832.300,1,2000,16733.993,59.598
token-query,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:41:59.9144599Z,token-query,C:\bench\microbench\token-query,0,115,0,0,0,98304,0,1.900,2.300,5.600,9983.400,1,50000,436812.457,2.249
crypto-hash-verify,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:42:10.1741985Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,257,0,0,0,188416,0,40.500,44.000,56.400,111.600,1,5000,24282.265,41.157
com-create-instance,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:42:21.4260994Z,com-create-instance,C:\bench\microbench\com-create-instance,0,1256,0,0,0,229376,0,227.600,319.700,344.900,29179.400,1,5000,3983.637,250.941
wmi-query,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:42:38.9930641Z,wmi-query,C:\bench\microbench\wmi-query,0,7556,0,0,0,4096,143360,14802.200,16475.400,17388.300,24478.200,1,500,66.174,14989.931
fs-watcher,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:42:54.6184510Z,fs-watcher,C:\bench\microbench\fs-watcher,0,5610,0,0,0,690688,37941248,1046.900,1353.900,1631.400,20829.300,1,5000,912.026,1094.958
ripgrep-clean-build,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:43:21.8822356Z,cargo build --release,C:\bench\ripgrep,0,17180,163484,8406,1493,315735552,77545472,,,,,0,0,0.000,0.000
ripgrep-incremental-build,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:43:48.1190291Z,cargo build --release,C:\bench\ripgrep,0,6214,32421,1015,477,0,25595904,,,,,0,0,0.000,0.000
roslyn-clean-build,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:48:11.0704658Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,241500,3041062,364968,8398,3081300992,32130940928,,,,,0,0,0.000,0.000
roslyn-incremental-build,emsisoft,Emsisoft Anti-Malware Home,2021.03.0.5617,2026-04-21T19:49:45.3950081Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,74249,738703,160828,4777,128830976,1293922304,,,,,0,0,0.000,0.000
