scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,eset,ESET Security,19.1.12.0,2026-04-17T22:44:57.6635747Z,archive-extract,C:\bench\microbench\archive-extract,0,16006,0,0,0,154698752,317313024,1547388.900,2074676.500,2074676.500,2074676.500,1,10,0.625,1599389.610
com-create-instance,eset,ESET Security,19.1.12.0,2026-04-17T22:51:49.6862002Z,com-create-instance,C:\bench\microbench\com-create-instance,0,652,0,0,0,233472,12288,107.600,191.700,226.900,22716.000,1,5000,7678.798,130.158
crypto-hash-verify,eset,ESET Security,19.1.12.0,2026-04-17T22:51:39.0402669Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,248,0,0,0,0,0,40.500,42.200,55.800,85.100,1,5000,24313.449,41.105
dll-load-unique,eset,ESET Security,19.1.12.0,2026-04-17T22:47:42.7339370Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,10357,0,0,0,6656,4017963008,5062.600,5993.200,7025.600,15454.100,1,2000,193.115,5173.647
ext-sensitivity-dll,eset,ESET Security,19.1.12.0,2026-04-17T22:46:46.8039051Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,6163,0,0,0,0,46460928,585.300,715.800,1128.400,29832.900,1,10000,1622.700,614.933
ext-sensitivity-exe,eset,ESET Security,19.1.12.0,2026-04-17T22:46:30.6473514Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,6226,0,0,0,0,35344384,591.900,704.400,1151.100,37541.500,1,10000,1606.310,620.781
ext-sensitivity-js,eset,ESET Security,19.1.12.0,2026-04-17T22:47:04.6120563Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,7806,0,0,0,31232,54525952,737.100,957.700,1551.200,21740.200,1,10000,1281.068,779.258
ext-sensitivity-ps1,eset,ESET Security,19.1.12.0,2026-04-17T22:47:22.3744927Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,7747,0,0,0,0,46104576,730.600,936.900,1524.900,16817.300,1,10000,1291.048,773.204
file-copy-large,eset,ESET Security,19.1.12.0,2026-04-17T22:45:22.0642693Z,file-copy-large,C:\bench\microbench\file-copy-large,0,875,0,0,0,0,104886272,35246.100,81071.900,81071.900,81071.900,1,10,25.129,39784.300
file-create-delete,eset,ESET Security,19.1.12.0,2026-04-17T22:44:31.6473789Z,file-create-delete,C:\bench\microbench\file-create-delete,0,2902,0,0,0,0,21762048,547.300,683.800,1024.300,24393.400,100,5000,1724.767,576.114
file-enum-large-dir,eset,ESET Security,19.1.12.0,2026-04-17T22:45:11.1825132Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,3509,0,0,0,0,62218240,2601.100,3040.300,4949.400,4949.400,1,50,368.658,2712.422
file-write-content,eset,ESET Security,19.1.12.0,2026-04-17T22:49:28.8142907Z,file-write-content,C:\bench\microbench\file-write-content,0,96079,0,0,0,154239488,85458944,9533.900,10644.100,11143.700,33886.900,1,10000,104.082,9589.297
fs-watcher,eset,ESET Security,19.1.12.0,2026-04-17T22:52:23.5861719Z,fs-watcher,C:\bench\microbench\fs-watcher,0,4947,0,0,0,543232,30670848,916.900,1170.500,1389.100,18077.700,1,5000,1036.651,962.834
hardlink-create,eset,ESET Security,19.1.12.0,2026-04-17T22:45:33.8690410Z,hardlink-create,C:\bench\microbench\hardlink-create,0,1806,0,0,0,0,0,354.000,445.100,471.900,1482.500,1,5000,2770.433,359.490
