scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:03:27.2179027Z,archive-extract,C:\bench\microbench\archive-extract,0,33468,0,0,0,33789952,271753216,3262914.700,4140204.800,4140204.800,4140204.800,1,10,0.299,3344709.320
com-create-instance,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:10:15.7504827Z,com-create-instance,C:\bench\microbench\com-create-instance,0,1849,0,0,0,9439232,598016,320.000,671.100,984.600,2253.600,1,5000,2705.413,369.442
crypto-hash-verify,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:10:03.8880655Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,253,0,0,0,12465152,0,38.100,40.700,52.500,90.600,1,5000,25835.694,38.679
dll-load-unique,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:07:00.1108157Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,46381,0,0,0,160797184,4020695040,22892.100,25901.400,28323.400,53564.300,1,2000,43.122,23180.820
ext-sensitivity-dll,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:05:27.0987716Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,8351,0,0,0,15764480,57516032,773.800,1196.400,1568.500,23595.300,1,10000,1197.389,833.515
ext-sensitivity-exe,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:05:08.7406944Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,8418,0,0,0,0,71884800,781.900,1157.400,1528.700,42246.200,1,10000,1187.935,839.764
ext-sensitivity-js,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:05:45.3823767Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,8276,0,0,0,31232,66080768,778.900,1124.600,1535.000,35946.500,1,10000,1208.301,825.985
ext-sensitivity-ps1,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:06:03.7222062Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,8337,0,0,0,6144,63412224,780.400,1109.800,1551.900,81718.800,1,10000,1199.529,832.023
file-copy-large,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:03:56.5966388Z,file-copy-large,C:\bench\microbench\file-copy-large,0,2436,0,0,0,4608,9519616,210236.600,382624.100,382624.100,382624.100,1,10,5.151,194135.830
file-create-delete,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:02:43.7175259Z,file-create-delete,C:\bench\microbench\file-create-delete,0,4080,0,0,0,1477632,22368256,740.200,1136.600,1536.400,20655.600,100,5000,1226.274,811.503
file-enum-large-dir,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:03:44.1547351Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,6923,0,0,0,512,64070144,3622.600,4850.700,5569.800,5569.800,1,50,269.157,3714.934
file-write-content,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:07:53.7493718Z,file-write-content,C:\bench\microbench\file-write-content,0,43639,0,0,0,0,69607424,1050.800,16583.100,17291.600,32553.600,1,10000,229.158,4354.260
fs-watcher,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:10:54.2264014Z,fs-watcher,C:\bench\microbench\fs-watcher,0,8952,0,0,0,67352064,36593664,1716.000,2134.600,2474.500,11926.800,1,5000,566.214,1762.735
hardlink-create,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:04:10.5649575Z,hardlink-create,C:\bench\microbench\hardlink-create,0,3961,0,0,0,0,3772416,756.400,1022.000,1369.800,4296.200,1,5000,1263.033,789.924
junction-create,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:04:21.8729839Z,junction-create,C:\bench\microbench\junction-create,0,1317,0,0,0,0,10776576,624.900,809.500,1202.100,21178.000,1,2000,1519.119,656.795
mem-alloc-protect,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:08:43.1297860Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,158,0,0,0,0,0,2.900,3.600,6.600,482.300,1,50000,318226.081,3.103
mem-map-file,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:09:00.4139174Z,mem-map-file,C:\bench\microbench\mem-map-file,0,7280,0,0,0,75191808,109723648,679.100,1045.800,1452.200,9416.100,1,10000,1377.298,725.782
net-connect-loopback,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:09:11.0992339Z,net-connect-loopback,C:\bench\microbench\net-connect-loopback,0,672,0,0,0,15243776,0,291.300,504.600,958.700,1828.600,1,2000,3059.872,326.615
net-dns-resolve,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:09:22.7211238Z,net-dns-resolve,C:\bench\microbench\net-dns-resolve,0,920,0,0,0,16635904,11788288,186.100,203.000,215.000,5656.800,1,5000,5435.253,183.874
new-exe-run,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:08:07.7293287Z,new-exe-run,C:\bench\microbench\new-exe-run,0,3972,0,0,0,3049984,12615680,78099.600,91752.500,96430.500,96430.500,1,50,12.588,79120.444
new-exe-run-motw,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:08:21.6329014Z,new-exe-run-motw,C:\bench\microbench\new-exe-run-motw,0,3896,0,0,0,104448,12775424,76393.100,83028.700,108569.500,108569.500,1,50,12.833,77616.886
pipe-roundtrip,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:09:43.5687237Z,pipe-roundtrip,C:\bench\microbench\pipe-roundtrip,0,168,0,0,0,2089472,0,57.400,108.300,169.300,729.100,1,2000,15543.349,64.149
process-create-wait,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:04:50.3201824Z,process-create-wait,C:\bench\microbench\process-create-wait,0,18449,0,0,0,214354432,65196544,36218.200,41302.400,45944.100,150481.400,1,500,27.101,36897.683
registry-crud,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:09:33.3977200Z,registry-crud,C:\bench\microbench\registry-crud,0,669,0,0,0,12719104,0,123.600,172.600,222.200,2628.100,1,5000,7473.529,133.470
ripgrep-clean-build,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:11:23.5277599Z,cargo build --release,C:\bench\ripgrep,0,19210,175734,8312,1970,539498496,152510464,,,,,0,0,0.000,0.000
ripgrep-incremental-build,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:11:50.2978047Z,cargo build --release,C:\bench\ripgrep,0,6750,34359,984,472,66996224,23064576,,,,,0,0,0.000,0.000
roslyn-clean-build,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:16:08.4889265Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,236138,3117796,446859,7862,17912892928,32745059328,,,,,0,0,0.000,0.000
roslyn-incremental-build,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:17:38.0255340Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,69201,784953,182953,4802,780070400,1304694784,,,,,0,0,0.000,0.000
thread-create,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:08:32.9634662Z,thread-create,C:\bench\microbench\thread-create,0,1321,0,0,0,32768,8192,239.900,386.800,747.700,2845.200,1,5000,3784.478,264.061
token-query,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:09:53.6350524Z,token-query,C:\bench\microbench\token-query,0,52,0,0,0,592384,0,0.900,1.300,1.600,558.100,1,50000,966011.839,0.997
wmi-query,gdata,G DATA INTERNET SECURITY,22.0.0.0,2026-04-20T03:10:35.2608136Z,wmi-query,C:\bench\microbench\wmi-query,0,9497,0,0,0,177562624,2129920,18655.600,21822.600,23567.200,39677.600,1,500,52.647,18840.553
