scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:34:47.9597122Z,archive-extract,C:\bench\microbench\archive-extract,0,18416,0,0,0,34637312,269725696,1828516.700,1976835.400,1976835.400,1976835.400,1,10,0.543,1841479.780
com-create-instance,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:57:47.2065647Z,com-create-instance,C:\bench\microbench\com-create-instance,0,900,0,0,0,131072,12288,160.900,247.900,275.200,13750.600,1,5000,5559.650,179.779
crypto-hash-verify,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:57:36.2951917Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,264,0,0,0,0,0,40.500,42.900,56.000,589.100,1,5000,24165.493,41.355
dll-load-unique,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:37:53.2863258Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,27286,0,0,0,54982144,4035678208,13418.400,14750.500,15882.400,314829.800,1,2000,73.299,13636.826
ext-sensitivity-dll,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:36:46.3696939Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,10973,0,0,0,81920,73699328,1057.000,1263.600,1597.300,19601.400,1,10000,911.365,1095.833
ext-sensitivity-exe,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:36:25.3914972Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,10009,0,0,0,836608,61083648,953.700,1318.100,1571.100,28011.100,1,10000,999.157,998.893
ext-sensitivity-js,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:37:01.1747853Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,4809,0,0,0,278528,70504448,473.800,518.200,577.600,12306.500,1,10000,2079.239,479.576
ext-sensitivity-ps1,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:37:16.0059768Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,4827,0,0,0,876544,66801664,473.800,523.500,658.200,25206.700,1,10000,2071.512,481.445
file-copy-large,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:35:13.1998450Z,file-copy-large,C:\bench\microbench\file-copy-large,0,823,0,0,0,0,12288,35667.900,44977.200,44977.200,44977.200,1,10,27.380,36512.700
file-create-delete,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:34:19.5214342Z,file-create-delete,C:\bench\microbench\file-create-delete,0,2406,0,0,0,7865344,21147648,460.600,522.600,840.000,27931.400,100,5000,2079.976,477.064
file-enum-large-dir,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:35:02.3608929Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,4393,0,0,0,352256,42311680,2794.100,3887.700,4838.800,4838.800,1,50,343.160,2913.956
file-write-content,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:55:31.0942595Z,file-write-content,C:\bench\microbench\file-write-content,0,1047793,0,0,0,183763968,403120128,104060.700,109156.700,117643.400,205465.100,1,10000,9.544,104757.318
fs-watcher,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:58:32.4455039Z,fs-watcher,C:\bench\microbench\fs-watcher,0,3865,0,0,0,209920,31023104,729.200,808.300,1002.600,23631.300,1,5000,1333.765,748.101
hardlink-create,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:35:26.1500062Z,hardlink-create,C:\bench\microbench\hardlink-create,0,2929,0,0,0,16384,1458176,585.500,845.900,890.600,12500.100,1,5000,1708.227,583.884
junction-create,huorong,Huorong Internet Security,5.0.0.0,2026-04-16T16:35:37.0115028Z,junction-create,C:\bench\microbench\junction-create,0,856,0,0,0,65536,25985024,409.000,476.500,786.600,4448.400,1,2000,2336.684,426.494
