scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:48:29.3127483Z,archive-extract,C:\bench\microbench\archive-extract,0,15285,0,0,0,30883840,278806528,1441815.000,2139256.200,2139256.200,2139256.200,1,10,0.654,1527902.600
com-create-instance,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:54:47.1994376Z,com-create-instance,C:\bench\microbench\com-create-instance,0,558,0,0,0,0,0,96.200,172.100,196.100,3912.500,1,5000,9000.090,111.025
crypto-hash-verify,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:54:36.6357299Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,258,0,0,0,0,0,40.500,43.600,56.000,195.900,1,5000,24148.360,41.386
dll-load-unique,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:51:56.6407408Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,56534,0,0,0,1990656,4042338304,28139.300,29952.100,30959.800,46510.600,1,2000,35.378,28258.242
ext-sensitivity-dll,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:50:22.3459433Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,3656,0,0,0,446464,34258944,358.100,412.500,751.600,3050.800,1,10000,2734.837,364.700
ext-sensitivity-exe,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:50:08.6828376Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,3619,0,0,0,45056,70541312,353.900,396.300,538.200,27558.900,1,10000,2763.087,360.598
ext-sensitivity-js,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:50:36.2203340Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,3863,0,0,0,31232,46673920,376.500,433.800,652.500,26037.900,1,10000,2588.492,385.364
ext-sensitivity-ps1,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:50:50.0993155Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,3884,0,0,0,70302720,23449600,377.100,438.700,623.000,34915.100,1,10000,2574.468,387.461
file-copy-large,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:48:52.9767871Z,file-copy-large,C:\bench\microbench\file-copy-large,0,838,0,0,0,0,12288,35073.700,44736.700,44736.700,44736.700,1,10,27.490,36367.430
file-create-delete,kaspersky,Kaspersky,21.0.0.1,2026-04-21T04:48:03.9858162Z,file-create-delete,C:\bench\microbench\file-create-delete,0,2252,0,0,0,276480,33423360,422.700,611.000,945.200,14394.600,100,5000,2232.661,444.279
