scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,mcafee,McAfee,16.100.0 0,2026-04-20T21:46:02.2646422Z,archive-extract,C:\bench\microbench\archive-extract,0,13479,0,0,0,30673920,280403968,1315636.500,1464207.300,1464207.300,1464207.300,1,10,0.743,1345764.710
com-create-instance,mcafee,McAfee,16.100.0 0,2026-04-20T21:53:15.2477985Z,com-create-instance,C:\bench\microbench\com-create-instance,0,571,0,0,0,253952,114688,90.400,161.800,188.000,32118.300,1,5000,8761.249,114.068
crypto-hash-verify,mcafee,McAfee,16.100.0 0,2026-04-20T21:53:04.6592993Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,246,0,0,0,409600,0,40.500,43.000,62.700,520.400,1,5000,23685.951,42.196
dll-load-unique,mcafee,McAfee,16.100.0 0,2026-04-20T21:49:11.6283851Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,48451,0,0,0,2363904,4077891584,24040.100,26373.200,28068.600,35646.800,1,2000,41.279,24217.144
ext-sensitivity-dll,mcafee,McAfee,16.100.0 0,2026-04-20T21:47:46.6000012Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,3252,0,0,0,0,57229312,319.300,362.900,539.400,33965.200,1,10000,3074.922,324.270
ext-sensitivity-exe,mcafee,McAfee,16.100.0 0,2026-04-20T21:47:33.3468336Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,3280,0,0,0,0,51806208,318.200,357.200,514.700,51302.400,1,10000,3049.563,326.579
ext-sensitivity-js,mcafee,McAfee,16.100.0 0,2026-04-20T21:47:59.8926611Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,3268,0,0,0,71260672,51752960,314.100,385.400,713.800,16129.200,1,10000,3059.783,325.742
ext-sensitivity-ps1,mcafee,McAfee,16.100.0 0,2026-04-20T21:48:13.1656755Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,3259,0,0,0,0,61968384,317.500,364.600,597.700,27130.000,1,10000,3068.134,324.979
file-copy-large,mcafee,McAfee,16.100.0 0,2026-04-20T21:46:25.6297491Z,file-copy-large,C:\bench\microbench\file-copy-large,0,813,0,0,0,0,0,35354.500,38683.400,38683.400,38683.400,1,10,27.964,35750.780
file-create-delete,mcafee,McAfee,16.100.0 0,2026-04-20T21:45:38.7554041Z,file-create-delete,C:\bench\microbench\file-create-delete,0,1586,0,0,0,0,26218496,304.400,358.100,605.600,8545.800,100,5000,3156.436,313.443
