scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
file-create-delete,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:07:09.6365969Z,file-create-delete,C:\bench\microbench\file-create-delete,0,2236,0,0,0,973312,35577856,428.300,498.800,626.200,13937.800,100,5000,2239.588,441.912
archive-extract,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:07:40.0849056Z,archive-extract,C:\bench\microbench\archive-extract,0,20417,0,0,0,30795776,278867968,1951247.300,2844372.200,2844372.200,2844372.200,1,10,0.490,2041217.770
file-enum-large-dir,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:07:55.3821316Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,5267,0,0,0,176128,66506752,2864.200,5963.900,8736.800,8736.800,1,50,301.819,3313.062
file-copy-large,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:08:06.2617695Z,file-copy-large,C:\bench\microbench\file-copy-large,0,875,0,0,0,0,104988672,35242.200,90049.900,90049.900,90049.900,1,10,24.486,40830.380
hardlink-create,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:08:18.2701599Z,hardlink-create,C:\bench\microbench\hardlink-create,0,2008,0,0,0,0,4911104,393.300,500.900,531.000,1028.100,1,5000,2492.137,399.789
junction-create,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:08:29.0038099Z,junction-create,C:\bench\microbench\junction-create,0,724,0,0,0,36864,4096,345.500,394.500,480.500,10895.600,1,2000,2761.435,360.783
process-create-wait,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:08:54.7145611Z,process-create-wait,C:\bench\microbench\process-create-wait,0,15719,0,0,0,649216,114688,31059.600,33302.800,35477.300,122611.000,1,500,31.807,31438.402
ext-sensitivity-exe,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:09:09.1980364Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,4474,0,0,0,0,55685120,437.600,483.100,556.100,27134.700,1,10000,2235.410,445.632
ext-sensitivity-dll,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:09:23.5956648Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,4397,0,0,0,1536,73838592,429.500,468.500,531.700,43468.500,1,10000,2274.483,438.360
ext-sensitivity-js,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:09:37.9622026Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,4372,0,0,0,80384,52719616,428.600,468.500,512.100,26638.500,1,10000,2287.214,435.930
ext-sensitivity-ps1,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:09:52.3660885Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,4401,0,0,0,0,58142720,431.300,479.100,582.100,23242.200,1,10000,2272.291,438.774
dll-load-unique,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:10:58.4334024Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,56054,0,0,0,3852800,4031733760,27912.800,29588.100,30354.800,49393.600,1,2000,35.680,28018.261
file-write-content,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:11:13.1350761Z,file-write-content,C:\bench\microbench\file-write-content,0,4699,0,0,0,335872,61321216,458.100,508.600,576.200,18370.000,1,10000,2127.972,465.384
new-exe-run,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:11:28.2048478Z,new-exe-run,C:\bench\microbench\new-exe-run,0,5069,0,0,0,19855872,12804096,101001.900,107821.500,119809.300,119809.300,1,50,9.864,101136.286
new-exe-run-motw,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:12:41.9287378Z,new-exe-run-motw,C:\bench\microbench\new-exe-run-motw,0,63715,0,0,0,104183296,13130240,1076391.900,1990369.200,4532506.900,4532506.900,1,50,0.785,1274053.266
thread-create,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:12:53.2105255Z,thread-create,C:\bench\microbench\thread-create,0,1264,0,0,0,208896,0,228.200,360.000,650.100,10700.700,1,5000,3955.542,252.658
mem-alloc-protect,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:13:03.4198172Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,190,0,0,0,0,0,3.400,5.500,8.900,486.400,1,50000,264622.231,3.739
mem-map-file,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:13:22.3104324Z,mem-map-file,C:\bench\microbench\mem-map-file,0,8883,0,0,0,145920,108077056,826.400,1270.600,1850.200,3293.400,1,10000,1126.228,887.660
net-connect-loopback,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:13:32.9132287Z,net-connect-loopback,C:\bench\microbench\net-connect-loopback,0,594,0,0,0,655872,0,276.300,380.400,525.300,1536.000,1,2000,3461.933,288.619
net-dns-resolve,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:13:43.9799016Z,net-dns-resolve,C:\bench\microbench\net-dns-resolve,0,1062,0,0,0,40960,0,210.100,230.400,250.000,7811.300,1,5000,4707.463,212.300
registry-crud,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:13:54.5810656Z,registry-crud,C:\bench\microbench\registry-crud,0,601,0,0,0,106496,0,110.400,155.900,184.000,10447.800,1,5000,8320.660,119.906
pipe-roundtrip,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:14:05.3705604Z,pipe-roundtrip,C:\bench\microbench\pipe-roundtrip,0,780,0,0,0,583168,0,126.300,218.100,13226.300,20877.000,1,2000,2589.970,369.166
token-query,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:14:15.4303849Z,token-query,C:\bench\microbench\token-query,0,55,0,0,0,0,0,1.000,1.300,1.600,715.500,1,50000,914695.498,1.043
crypto-hash-verify,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:14:25.6919240Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,253,0,0,0,462848,0,40.500,44.100,56.300,102.000,1,5000,24278.515,41.163
com-create-instance,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:14:36.2501943Z,com-create-instance,C:\bench\microbench\com-create-instance,0,557,0,0,0,143360,24576,95.200,167.000,192.100,14371.200,1,5000,8991.295,111.147
wmi-query,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:14:55.3137965Z,wmi-query,C:\bench\microbench\wmi-query,0,9066,0,0,0,110592,131072,17742.700,19677.100,21218.300,65592.200,1,500,55.149,18016.351
fs-watcher,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:15:08.9165541Z,fs-watcher,C:\bench\microbench\fs-watcher,0,3604,0,0,0,121344,41070592,663.100,730.900,852.300,103869.100,1,5000,1439.741,693.033
ripgrep-clean-build,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:15:37.9271093Z,cargo build --release,C:\bench\ripgrep,0,18307,163015,7000,1890,321931264,84111360,,,,,0,0,0.000,0.000
ripgrep-incremental-build,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:16:04.1638838Z,cargo build --release,C:\bench\ripgrep,0,6232,32218,843,454,98304,25489408,,,,,0,0,0.000,0.000
roslyn-clean-build,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:20:33.8136918Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=78490729af7c8b82451a94010e128ad0dd49a189 /p:RepositoryBranch=main",C:\bench\roslyn,0,248820,3065343,360296,9581,2875235328,32162283520,,,,,0,0,0.000,0.000
roslyn-incremental-build,ms-defender,Windows Defender,4.18.2201.11,2026-04-16T20:22:02.4066046Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=78490729af7c8b82451a94010e128ad0dd49a189 /p:RepositoryBranch=main",C:\bench\roslyn,0,68534,764671,146125,5098,152310784,1311498240,,,,,0,0,0.000,0.000
