scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,sophos,Sophos Home,4.0.0,2026-04-20T20:34:58.0033502Z,archive-extract,C:\bench\microbench\archive-extract,0,31813,0,0,0,32999424,296634368,3151126.200,3343958.100,3343958.100,3343958.100,1,10,0.315,3178935.430
com-create-instance,sophos,Sophos Home,4.0.0,2026-04-20T20:42:08.1077628Z,com-create-instance,C:\bench\microbench\com-create-instance,0,2541,0,0,0,135168,651264,457.000,824.100,1134.300,30628.600,1,5000,1967.902,507.998
crypto-hash-verify,sophos,Sophos Home,4.0.0,2026-04-20T20:41:55.5501678Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,253,0,0,0,0,0,40.500,41.700,55.900,94.000,1,5000,24355.196,41.036
dll-load-unique,sophos,Sophos Home,4.0.0,2026-04-20T20:39:08.3974118Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,67072,0,0,0,146584576,4021678080,33391.400,36202.000,37889.000,51114.600,1,2000,29.819,33526.795
ext-sensitivity-dll,sophos,Sophos Home,4.0.0,2026-04-20T20:37:10.6682068Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,10097,0,0,0,3072,55934976,922.400,1392.300,2235.300,22823.300,1,10000,990.444,1008.336
ext-sensitivity-exe,sophos,Sophos Home,4.0.0,2026-04-20T20:36:50.5555841Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,10208,0,0,0,24576,87117824,924.000,1393.400,2238.100,75428.300,1,10000,979.638,1019.052
ext-sensitivity-js,sophos,Sophos Home,4.0.0,2026-04-20T20:37:30.9478725Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,10276,0,0,0,748544,74031104,941.100,1397.800,2114.000,14523.000,1,10000,973.142,1026.179
ext-sensitivity-ps1,sophos,Sophos Home,4.0.0,2026-04-20T20:37:51.3176927Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,10357,0,0,0,3584,76546048,944.900,1420.200,2132.800,34079.200,1,10000,965.512,1034.402
file-copy-large,sophos,Sophos Home,4.0.0,2026-04-20T20:35:28.3681490Z,file-copy-large,C:\bench\microbench\file-copy-large,0,852,0,0,0,0,0,38620.800,43492.400,43492.400,43492.400,1,10,25.683,38926.260
file-create-delete,sophos,Sophos Home,4.0.0,2026-04-20T20:34:16.1742828Z,file-create-delete,C:\bench\microbench\file-create-delete,0,4474,0,0,0,0,25632768,844.500,1099.400,1710.000,16468.400,100,5000,1118.134,890.692
file-enum-large-dir,sophos,Sophos Home,4.0.0,2026-04-20T20:35:17.5097815Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,9500,0,0,0,0,74215424,2925.600,3298.800,5034.800,5034.800,1,50,332.301,3009.174
file-write-content,sophos,Sophos Home,4.0.0,2026-04-20T20:39:29.8654396Z,file-write-content,C:\bench\microbench\file-write-content,0,11461,0,0,0,0,71086080,1038.300,1647.900,2295.600,19117.700,1,10000,872.643,1140.767
fs-watcher,sophos,Sophos Home,4.0.0,2026-04-20T20:42:44.1934562Z,fs-watcher,C:\bench\microbench\fs-watcher,0,7459,0,0,0,96768,52477952,1399.900,1753.900,2051.000,22521.400,1,5000,683.179,1462.107
hardlink-create,sophos,Sophos Home,4.0.0,2026-04-20T20:35:41.5837202Z,hardlink-create,C:\bench\microbench\hardlink-create,0,3194,0,0,0,0,4964352,618.900,766.900,1217.700,4273.100,1,5000,1567.188,636.652
