scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:33:42.5901297Z,archive-extract,C:\bench\microbench\archive-extract,0,18586,0,0,0,29926912,274501632,1826619.900,2085789.600,2085789.600,2085789.600,1,10,0.538,1858419.900
com-create-instance,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:40:26.1705790Z,com-create-instance,C:\bench\microbench\com-create-instance,0,614,0,0,0,274432,4096,107.300,180.200,198.200,6513.800,1,5000,8143.635,122.718
crypto-hash-verify,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:40:15.5455697Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,251,0,0,0,450560,0,40.500,44.100,56.000,91.400,1,5000,24262.422,41.191
dll-load-unique,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:36:21.7565384Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,10154,0,0,0,4096,4017364992,4954.900,6042.100,7128.500,17073.700,1,2000,196.957,5072.911
ext-sensitivity-dll,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:35:31.3477546Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,5100,0,0,0,0,54206464,482.400,651.300,762.300,13819.200,1,10000,1960.709,508.667
ext-sensitivity-exe,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:35:16.2426156Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,5068,0,0,0,0,57241600,484.800,640.100,720.000,26065.300,1,10000,1973.287,505.024
ext-sensitivity-js,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:35:46.4467778Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,5091,0,0,0,31232,64978944,486.100,646.200,728.700,27090.300,1,10000,1964.316,507.744
ext-sensitivity-ps1,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:36:01.5931947Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,5127,0,0,0,60534272,48586752,486.400,641.000,757.700,35738.500,1,10000,1950.595,511.325
file-copy-large,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:34:07.2397574Z,file-copy-large,C:\bench\microbench\file-copy-large,0,868,0,0,0,0,104886272,35998.200,74351.000,74351.000,74351.000,1,10,24.575,40681.750
file-create-delete,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:33:13.9758630Z,file-create-delete,C:\bench\microbench\file-create-delete,0,2490,0,0,0,780800,15499264,479.500,529.000,582.800,24744.400,100,5000,2018.630,488.896
file-enum-large-dir,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:33:56.3802899Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,3764,0,0,0,95809536,49451008,3273.800,4347.000,5590.300,5590.300,1,50,298.295,3352.254
file-write-content,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:36:37.1668855Z,file-write-content,C:\bench\microbench\file-write-content,0,5394,0,0,0,0,32145408,507.000,673.800,845.500,21887.900,1,10000,1854.091,534.341
fs-watcher,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:41:04.0439077Z,fs-watcher,C:\bench\microbench\fs-watcher,0,3645,0,0,0,124928,29593600,694.000,740.800,812.200,24414.200,1,5000,1418.569,703.434
hardlink-create,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:34:19.4822947Z,hardlink-create,C:\bench\microbench\hardlink-create,0,2240,0,0,0,605696,11862016,444.400,523.600,597.700,3338.900,1,5000,2234.352,446.042
junction-create,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:34:30.3656048Z,junction-create,C:\bench\microbench\junction-create,0,870,0,0,0,94208,0,415.000,482.400,702.700,11446.600,1,2000,2298.303,433.410
mem-alloc-protect,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:38:56.6662596Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,162,0,0,0,0,0,2.900,4.900,6.800,400.900,1,50000,310200.830,3.183
mem-map-file,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:39:12.0098550Z,mem-map-file,C:\bench\microbench\mem-map-file,0,5328,0,0,0,154112,108105728,495.300,703.500,989.500,2129.000,1,10000,1878.672,532.024
net-connect-loopback,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:39:22.8102001Z,net-connect-loopback,C:\bench\microbench\net-connect-loopback,0,783,0,0,0,167936,155648,371.100,504.400,812.900,2179.300,1,2000,2597.117,384.820
net-dns-resolve,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:39:34.0511683Z,net-dns-resolve,C:\bench\microbench\net-dns-resolve,0,1234,0,0,0,8192,4096,245.000,272.500,301.000,9858.100,1,5000,4050.150,246.782
new-exe-run,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:37:36.0242164Z,new-exe-run,C:\bench\microbench\new-exe-run,0,48853,0,0,0,149088768,17915904,910103.900,1255160.200,1705003.500,1705003.500,1,50,1.023,976635.872
new-exe-run-motw,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:38:35.2254753Z,new-exe-run-motw,C:\bench\microbench\new-exe-run-motw,0,49189,0,0,0,98304,17375232,909917.200,1278326.100,1431652.000,1431652.000,1,50,1.016,983558.812
pipe-roundtrip,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:39:55.2294479Z,pipe-roundtrip,C:\bench\microbench\pipe-roundtrip,0,129,0,0,0,416256,0,50.000,71.100,171.500,463.400,1,2000,17798.551,56.017
process-create-wait,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:35:01.1637995Z,process-create-wait,C:\bench\microbench\process-create-wait,0,20806,0,0,0,761344,798720,39263.400,42250.400,53478.600,922046.500,1,500,24.032,41611.038
registry-crud,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:39:45.0867012Z,registry-crud,C:\bench\microbench\registry-crud,0,1031,0,0,0,135168,0,196.600,248.900,274.700,3669.200,1,5000,4851.913,205.768
ripgrep-clean-build,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:41:34.9735707Z,cargo build --release,C:\bench\ripgrep,0,20311,150390,6343,2155,353835520,84865024,,,,,0,0,0.000,0.000
ripgrep-incremental-build,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:42:01.0584748Z,cargo build --release,C:\bench\ripgrep,0,6072,31687,796,452,0,18931712,,,,,0,0,0.000,0.000
roslyn-clean-build,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:46:08.6984252Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,226107,3032250,343687,8115,15287661568,32180895744,,,,,0,0,0.000,0.000
roslyn-incremental-build,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:47:32.7344654Z,"dotnet build ""C:\bench\roslyn\Roslyn.slnx"" -c Release /m /nr:false /p:RepositoryUrl=https://github.com/dotnet/roslyn /p:RepositoryCommit=358fc4c237c3ec174e66c5d6e430ba176bf793cf /p:RepositoryBranch=main",C:\bench\roslyn,0,63821,699187,138359,5032,141101056,1298829312,,,,,0,0,0.000,0.000
thread-create,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:38:46.4950499Z,thread-create,C:\bench\microbench\thread-create,0,1260,0,0,0,225280,49152,226.200,326.600,783.300,9847.600,1,5000,3969.407,251.769
token-query,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:40:05.2978740Z,token-query,C:\bench\microbench\token-query,0,67,0,0,0,98304,0,1.000,1.400,2.900,9703.100,1,50000,753462.537,1.288
wmi-query,tencent-pcmgr,腾讯电脑管家系统防护,"17,1,20399,201",2026-04-19T16:40:50.3985314Z,wmi-query,C:\bench\microbench\wmi-query,0,14221,0,0,0,4096,483328,28143.100,30871.400,32290.300,50413.100,1,500,35.159,28286.190
