scenario_id,av_name,av_product,av_version,timestamp_utc,command,working_dir,exit_code,wall_ms,user_cpu_ms,kernel_cpu_ms,peak_job_memory_mb,system_disk_read_bytes,system_disk_write_bytes,p50_us,p95_us,p99_us,max_us,micro_batch_size,micro_total_operations,micro_ops_per_sec,micro_mean_latency_us
archive-extract,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:37:18.2326558Z,archive-extract,C:\bench\microbench\archive-extract,0,69407,0,0,0,35933184,539115520,6905640.000,7244267.500,7244267.500,7244267.500,1,10,0.144,6939009.450
com-create-instance,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:48:26.6850849Z,com-create-instance,C:\bench\microbench\com-create-instance,0,1877,0,0,0,233472,159744,355.400,395.400,811.200,21672.000,1,5000,2664.874,375.096
crypto-hash-verify,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:48:14.7967329Z,crypto-hash-verify,C:\bench\microbench\crypto-hash-verify,0,249,0,0,0,32768,0,40.400,42.000,56.100,100.900,1,5000,24340.885,41.056
dll-load-unique,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:43:27.5985757Z,dll-load-unique,C:\bench\microbench\dll-load-unique,0,45739,0,0,0,2093056,4025118720,22740.200,24329.000,25427.400,52982.200,1,2000,43.726,22860.882
ext-sensitivity-dll,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:40:28.5274057Z,ext-sensitivity-dll,C:\bench\microbench\ext-sensitivity-dll,0,40297,0,0,0,58880,136368128,3971.100,4653.600,5173.600,19080.900,1,10000,248.158,4027.082
ext-sensitivity-exe,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:39:38.2315650Z,ext-sensitivity-exe,C:\bench\microbench\ext-sensitivity-exe,0,26327,0,0,0,60928,214142976,2559.400,3094.000,3537.500,11246.300,1,10000,379.834,2630.215
ext-sensitivity-js,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:41:41.3037982Z,ext-sensitivity-js,C:\bench\microbench\ext-sensitivity-js,0,62772,0,0,0,130048,367751168,5988.200,9372.100,10627.200,33755.400,1,10000,159.306,6273.889
ext-sensitivity-ps1,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:42:31.8553235Z,ext-sensitivity-ps1,C:\bench\microbench\ext-sensitivity-ps1,0,40541,0,0,0,5105664,186519552,3991.700,4667.800,5609.400,31837.600,1,10000,246.665,4051.741
file-copy-large,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:37:57.2626064Z,file-copy-large,C:\bench\microbench\file-copy-large,0,890,0,0,0,0,104931328,37092.100,79114.600,79114.600,79114.600,1,10,24.127,41435.280
file-create-delete,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:35:58.8152357Z,file-create-delete,C:\bench\microbench\file-create-delete,0,12649,0,0,0,135168,31170560,2449.500,3046.000,3530.100,17793.800,100,5000,395.423,2524.623
file-enum-large-dir,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:37:46.3755869Z,file-enum-large-dir,C:\bench\microbench\file-enum-large-dir,0,18123,0,0,0,56980480,135598080,2605.800,3099.200,5974.800,5974.800,1,50,366.123,2731.186
file-write-content,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:45:08.1581381Z,file-write-content,C:\bench\microbench\file-write-content,0,90549,0,0,0,897536,930910208,12714.300,14500.000,15279.800,108563.500,1,10000,110.439,9041.568
fs-watcher,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:49:20.4677527Z,fs-watcher,C:\bench\microbench\fs-watcher,0,20344,0,0,0,305664,42696704,3926.200,4735.700,5279.500,147644.700,1,5000,247.346,4040.712
hardlink-create,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:38:15.0613932Z,hardlink-create,C:\bench\microbench\hardlink-create,0,7794,0,0,0,78132224,17391616,1493.900,1994.600,2276.200,3020.300,1,5000,641.946,1555.869
junction-create,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:38:27.1107318Z,junction-create,C:\bench\microbench\junction-create,0,2031,0,0,0,94208,4096,980.400,1188.300,1654.700,13099.200,1,2000,985.073,1013.529
mem-alloc-protect,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:46:38.8403793Z,mem-alloc-protect,C:\bench\microbench\mem-alloc-protect,0,387,0,0,0,0,0,7.300,8.600,14.100,1044.800,1,50000,129530.357,7.666
mem-map-file,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:47:02.5848602Z,mem-map-file,C:\bench\microbench\mem-map-file,0,13734,0,0,0,32768,109371392,1303.600,1732.500,2131.400,60393.600,1,10000,728.344,1372.662
net-connect-loopback,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:47:13.2898539Z,net-connect-loopback,C:\bench\microbench\net-connect-loopback,0,686,0,0,0,919552,53248,310.100,423.400,637.800,1682.700,1,2000,3093.081,323.113
net-dns-resolve,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:47:24.3756668Z,net-dns-resolve,C:\bench\microbench\net-dns-resolve,0,1080,0,0,0,403968,126976,215.600,233.700,249.700,24443.900,1,5000,4632.265,215.752
new-exe-run,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:45:45.4657872Z,new-exe-run,C:\bench\microbench\new-exe-run,0,27307,0,0,0,2746880,16269312,524409.700,767417.100,1083739.400,1083739.400,1,50,1.831,545881.900
new-exe-run-motw,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:46:16.5724796Z,new-exe-run-motw,C:\bench\microbench\new-exe-run-motw,1,0,0,0,0,0,0,,,,,0,0,0.000,0.000
pipe-roundtrip,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:47:54.4769353Z,pipe-roundtrip,C:\bench\microbench\pipe-roundtrip,0,153,0,0,0,406528,0,57.000,67.700,156.900,654.800,1,2000,17298.719,57.639
process-create-wait,trendmicro,Trend Micro Maximum Security,7.7,2026-04-19T00:39:01.9009428Z,process-create-wait,C:\bench\microbench\process-create-wait,0,24795,0,0,0,1677312,1359872,48626.100,51772.200,53307.100,405193.300,1,500,20.165,49588.723
